"filename", "language", "XML", "C#", "ASP.NET Razor", "JavaScript", "JSON", "PostCSS", "Markdown", "Properties", "JSON with Comments", "comment", "blank", "total"
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\DocumentLayout.backup.json", "JSON", 0, 0, 0, 0, 2363, 0, 0, 0, 0, 0, 0, 2363
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\DocumentLayout.json", "JSON", 0, 0, 0, 0, 2333, 0, 0, 0, 0, 0, 0, 2333
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\ResourceExplorer\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\CapaAccesoDatos.csproj", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\Conexion.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_AntecedenteObstetrico.cs", "C#", 0, 141, 0, 0, 0, 0, 0, 0, 0, 5, 21, 167
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Auditoria.cs", "C#", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 19, 128
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_AyudaDiagnosticaOrden.cs", "C#", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 6, 138
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Bebe.cs", "C#", 0, 163, 0, 0, 0, 0, 0, 0, 0, 2, 21, 186
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Cita.cs", "C#", 0, 138, 0, 0, 0, 0, 0, 0, 0, 3, 14, 155
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ControlPrenatal.cs", "C#", 0, 241, 0, 0, 0, 0, 0, 0, 0, 4, 14, 259
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ControlPrenatal_AyudaDiagnostica.cs", "C#", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Embarazo.cs", "C#", 0, 146, 0, 0, 0, 0, 0, 0, 0, 6, 23, 175
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Encuentro.cs", "C#", 0, 155, 0, 0, 0, 0, 0, 0, 0, 2, 11, 168
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_EstadoCita.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_FactorRiesgoCat.cs", "C#", 0, 98, 0, 0, 0, 0, 0, 0, 0, 3, 16, 117
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_LiquidoAmniotico.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_MetodoPF.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Paciente.cs", "C#", 0, 169, 0, 0, 0, 0, 0, 0, 0, 30, 43, 242
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_PacienteEmail.cs", "C#", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 19, 114
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_PacienteFactorRiesgo.cs", "C#", 0, 114, 0, 0, 0, 0, 0, 0, 0, 7, 24, 145
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_PacienteTelefono.cs", "C#", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 19, 115
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Parto.cs", "C#", 0, 264, 0, 0, 0, 0, 0, 0, 0, 9, 11, 284
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_PartoIntervencion.cs", "C#", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 17, 113
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ProfesionalEmail.cs", "C#", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 20, 115
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ProfesionalSalud.cs", "C#", 0, 154, 0, 0, 0, 0, 0, 0, 0, 6, 22, 182
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ProfesionalTelefono.cs", "C#", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 20, 116
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ResultadoDiagnostico.cs", "C#", 0, 155, 0, 0, 0, 0, 0, 0, 0, 22, 42, 219
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ResultadoItem.cs", "C#", 0, 165, 0, 0, 0, 0, 0, 0, 0, 9, 37, 211
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Rol.cs", "C#", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 24, 155
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_SegumientoPuerperio.cs", "C#", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 22, 214
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_TipoAyudaDiagnostica.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_TipoEncuentro.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Usuario.cs", "C#", 0, 244, 0, 0, 0, 0, 0, 0, 0, 15, 62, 321
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_UsuarioRol.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ViaParto.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\bin\Debug\net8.0\CapaAccesoDatos.deps.json", "JSON", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 137
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 154
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\CapaAccesoDatos.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\CapaAccesoDatos.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\CapaAccesoDatos.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\CapaAccesoDatos.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Debug\net8.0\CapaAccesoDatos.sourcelink.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Release\net8.0\CapaAccesoDatos.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Release\net8.0\CapaAccesoDatos.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\Release\net8.0\CapaAccesoDatos.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\obj\project.assets.json", "JSON", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 272
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\CapaEntidad.csproj", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\bin\Debug\net8.0\CapaEntidad.deps.json", "JSON", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 120
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entAntecedenteObstetrico.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entAuditoria.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entAyudaDiagnosticaOrden.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 7, 31
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entBebe.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entCita.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entControlPrenatal.cs", "C#", 0, 63, 0, 0, 0, 0, 0, 0, 0, 3, 19, 85
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entControlPrenatal_AyudaDiagnostica.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entEmbarazo.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entEncuentro.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entEstadoCita.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entFactorRiesgoCat.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entLiquidoAmniotico.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entLogin.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entMetodoPF.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entPaciente.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entPacienteEmail.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entPacienteFactorRiesgo.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entPacienteTelefono.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entParto.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 30, 87
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entPartoIntervencion.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entProfesionalEmail.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entProfesionalSalud.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entProfesionalTelefono.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entResultadoDiagnostico.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entResultadoItem.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entRol.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entSeguimientoPuerperio.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 22, 68
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entTipoAyudaDiagnostica.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entTipoEncuentro.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entUsuario.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entUsuarioRol.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\entViaParto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\loginStaf.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\CapaEntidad.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 79
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\CapaEntidad.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\CapaEntidad.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Debug\net8.0\CapaEntidad.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Debug\net8.0\CapaEntidad.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Debug\net8.0\CapaEntidad.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Debug\net8.0\CapaEntidad.sourcelink.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Release\net8.0\CapaEntidad.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Release\net8.0\CapaEntidad.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\Release\net8.0\CapaEntidad.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaEntidad\obj\project.assets.json", "JSON", 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 249
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\CapaLogica.csproj", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\bin\Debug\net8.0\CapaLogica.deps.json", "JSON", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 155
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logAntecedenteObstetrico.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 14, 47
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logAuditoria.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logAyudaDiagnosticaOrden.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 0, 5, 7, 89
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logBebe.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 7, 37
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logCita.cs", "C#", 0, 74, 0, 0, 0, 0, 0, 0, 0, 10, 6, 90
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logControlPrenatal.cs", "C#", 0, 131, 0, 0, 0, 0, 0, 0, 0, 7, 17, 155
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logControlPrenatal_AyudaDiagnostica.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logEmbarazo.cs", "C#", 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 8, 59
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logEncuentro.cs", "C#", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logEstadoCita.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logFactorRiesgoCat.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 10, 41
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logLiquidoAmniotico.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logMetodoPF.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logPaciente.cs", "C#", 0, 87, 0, 0, 0, 0, 0, 0, 0, 16, 8, 111
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logPacienteEmail.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 4, 30
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logPacienteFactorRiesgo.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 12, 48
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logPacienteTelefono.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 8, 36
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logParto.cs", "C#", 0, 122, 0, 0, 0, 0, 0, 0, 0, 6, 17, 145
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logPartoIntervencion.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 5, 31
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logProfesionalEmail.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logProfesionalSalud.cs", "C#", 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 9, 94
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logProfesionalTelefono.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 7, 35
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaLogica\logResultadoDiagnostico.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 14, 48
